X--Trace 1::[V(4) | V(PR1)],Y--Trace 1::[V(4) | V(PR1)]
322.8271145,1.000522641
330.346724,1.000547427
338.0414877,1.00057338
345.9154855,1.000600556
353.9728922,1.000629011
362.21798,1.000658807
370.6551207,1.000690006
379.2887875,1.000722674
388.1235583,1.000756881
397.1641174,1.000792699
406.4152581,1.000830203
415.8818856,1.000869474
425.5690191,1.000910593
435.481795,1.000953649
445.6254691,1.000998732
456.0054197,1.001045938
466.6271504,1.001095366
477.496293,1.00114712
488.6186105,1.001201311
500,1.001258053
511.6464961,1.001317466
523.564274,1.001379675
535.7596526,1.001444811
548.2390981,1.001513013
561.0092272,1.001584424
574.0768107,1.001659196
587.4487775,1.001737485
601.1322173,1.001819457
615.1343854,1.001905285
629.4627059,1.00199515
644.1247758,1.002089242
659.1283693,1.002187759
674.4814413,1.002290908
690.1921323,1.002398906
706.2687723,1.002511982
722.7198854,1.002630373
739.5541941,1.002754328
756.7806242,1.002884109
774.4083095,1.003019987
792.4465962,1.003162248
810.9050487,1.003311191
829.7934537,1.00346713
849.1218262,1.00363039
868.9004144,1.003801315
889.139705,1.003980262
909.8504293,1.004167607
931.0435683,1.004363741
952.730359,1.004569075
974.9222999,1.004784038
997.6311575,1.005009078
1020.868972,1.005244666
1044.648065,1.005491293
1068.981045,1.005749472
1093.880812,1.00601974
1119.360569,1.006302659
1145.433826,1.006598816
1172.114408,1.006908827
1199.41646,1.007233332
1227.354458,1.007573003
1255.943216,1.007928541
1285.197891,1.008300679
1315.133996,1.008690185
1345.767402,1.009097857
1377.114352,1.009524533
1409.191466,1.009971085
1442.015752,1.010438427
1475.604613,1.01092751
1509.97586,1.01143933
1545.147716,1.011974924
1581.13883,1.012535376
1617.968285,1.013121814
1655.655607,1.01373542
1694.220781,1.01437742
1733.684252,1.015049097
1774.066946,1.015751785
1815.390274,1.016486876
1857.676145,1.017255816
1900.946982,1.018060114
1945.225725,1.018901337
1990.535853,1.019781116
2036.901389,1.020701144
2084.346917,1.021663181
2132.897594,1.022669053
2182.579161,1.023720653
2233.417961,1.024819942
2285.440948,1.025968952
2338.675706,1.027169784
2393.150462,1.028424604
2448.894097,1.029735653
2505.936168,1.031105233
2564.30692,1.032535715
2624.037301,1.034029533
2685.158982,1.035589177
2747.704369,1.037217195
2811.706626,1.038916181
2877.199687,1.040688773
2944.218277,1.042537639
3012.79793,1.044465468
3082.975009,1.046474957
3154.786722,1.048568797
3228.271145,1.050749648
3303.46724,1.053020122
3380.414877,1.055382752
3459.154855,1.057839963
3539.728922,1.060394032
3622.1798,1.063047048
3706.551207,1.065800856
3792.887875,1.068657002
3881.235583,1.07161666
3971.641174,1.074680555
4064.152581,1.077848866
4158.818856,1.081121122
4255.690191,1.084496075
4354.81795,1.08797156
4456.254691,1.091544328
4560.054197,1.095209862
4666.271504,1.09896216
4774.96293,1.102793496
4886.186105,1.106694139
5000,1.110652048
5116.464961,1.114652521
5235.64274,1.11867781
5357.596526,1.122706689
5482.390981,1.126713982
5610.092272,1.130670058
5740.768107,1.134540278
5874.487775,1.138284424
6011.322173,1.141856098
6151.343854,1.145202134
6294.627059,1.148262017
6441.247758,1.150967365
6591.283693,1.1532415
6744.814413,1.154999164
6901.921323,1.156146436
7062.687723,1.156580925
7227.198854,1.156192323
7395.541941,1.154863388
7567.806242,1.152471444
7744.083095,1.148890482
7924.465962,1.143993877
8109.050487,1.137657766
8297.934537,1.129765024
8491.218262,1.120209735
8689.004144,1.108901989
8891.39705,1.095772733
9098.504293,1.080778379
9310.435683,1.063904789
9527.30359,1.045170289
9749.222999,1.024627366
9976.311575,1.002362833
10208.68972,0.9784963136
10446.48065,0.9531771081
10689.81045,0.9265796124
10938.80812,0.898897619
11193.60569,0.8703379163
11454.33826,0.8411136425
11721.14408,0.8114378405
11994.1646,0.7815175966
12273.54458,0.7515490478
12559.43216,0.7217134382
12851.97891,0.6921742863
13151.33996,0.6630756386
13457.67402,0.6345413054
13771.14352,0.6066749329
14091.91466,0.5795607394
14420.15752,0.5532647435
14756.04613,0.5278363222
15099.7586,0.5033099584
15451.47716,0.4797070634
15811.3883,0.4570377849
16179.68285,0.4353027367
16556.55607,0.4144946062
16942.20781,0.3945996147
17336.84252,0.3755988181
17740.66946,0.3574692468
18153.90274,0.340184889
18576.76145,0.3237175283
19009.46982,0.3080374485
19452.25725,0.2931140178
19905.35853,0.2789161694
20369.01389,0.2654127896
20843.46917,0.2525730281
21328.97594,0.2403665416
21825.79161,0.2287636812
22334.17961,0.2177356331
22854.40948,0.2072545208
23386.75706,0.1972934755
23931.50462,0.1878266806
24488.94097,0.178829396
25059.36168,0.1702779648
25643.0692,0.1621498083
26240.37301,0.1544234099
26851.58982,0.1470782918
27477.04369,0.1400949862
28117.06626,0.1334550013
28771.99687,0.1271407859
29442.18277,0.1211356912
30127.9793,0.115423932
30829.75009,0.1099905474
31547.86722,0.1048213621
32282.71145,0.09990294803
33034.6724,0.09522258637
33804.14877,0.09076823169
34591.54855,0.08652847655
35397.28922,0.08249251776
36221.798,0.078650124
37065.51207,0.07499160493
37928.87875,0.07150778176
38812.35583,0.06818995921
39716.41174,0.06502989903
40641.52581,0.06201979479
41588.18856,0.05915224808
42556.90191,0.05642024599
43548.1795,0.05381713986
44562.54691,0.0513366252
45600.54197,0.04897272275
46662.71504,0.04671976061
47749.6293,0.0445723574
48861.86105,0.0425254064
50000,0.04057406059
