X--Trace 1::[V(9) | V(PR1)],Y--Trace 1::[V(9) | V(PR1)]
97.7237221,-1.588155322
100,-1.625137823
102.3292992,-1.662981016
104.7128548,-1.701704893
107.1519305,-1.741329914
109.6478196,-1.781877006
112.2018454,-1.823367583
114.8153621,-1.865823551
117.4897555,-1.909267322
120.2264435,-1.953721825
123.0268771,-1.999210516
125.8925412,-2.045757394
128.8249552,-2.093387007
131.8256739,-2.14212447
134.8962883,-2.191995475
138.0384265,-2.243026304
141.2537545,-2.295243843
144.5439771,-2.348675595
147.9108388,-2.403349693
151.3561248,-2.459294915
154.8816619,-2.516540699
158.4893192,-2.575117154
162.1810097,-2.63505508
165.9586907,-2.696385978
169.8243652,-2.759142071
173.7800829,-2.823356313
177.827941,-2.889062409
181.9700859,-2.956294834
186.2087137,-3.025088842
190.5460718,-3.095480489
194.98446,-3.167506649
199.5262315,-3.24120503
204.1737945,-3.31661419
208.9296131,-3.393773562
213.796209,-3.472723463
218.7761624,-3.553505121
223.8721139,-3.636160689
229.0867653,-3.720733264
234.4228815,-3.807266909
239.8832919,-3.895806672
245.4708916,-3.986398603
251.1886432,-4.079089781
257.0395783,-4.173928325
263.0267992,-4.270963425
269.1534804,-4.370245354
275.4228703,-4.471825494
281.8382931,-4.575756359
288.4031503,-4.68209161
295.1209227,-4.790886083
301.995172,-4.902195809
309.0295433,-5.016078035
316.227766,-5.132591247
323.5936569,-5.251795192
331.1311215,-5.3737509
338.8441561,-5.498520709
346.7368505,-5.626168282
354.8133892,-5.756758634
363.0780548,-5.890358154
371.5352291,-6.027034623
380.1893963,-6.166857242
389.045145,-6.30989665
398.1071706,-6.456224943
407.3802778,-6.605915704
416.8693835,-6.759044013
426.5795188,-6.915686478
436.5158322,-7.075921247
446.6835922,-7.239828031
457.0881896,-7.407488121
467.7351413,-7.578984411
478.6300923,-7.754401407
489.7788194,-7.933825252
501.1872336,-8.117343735
512.861384,-8.305046308
524.8074602,-8.4970241
537.0317964,-8.693369927
549.5408739,-8.894178302
562.3413252,-9.099545445
575.4399373,-9.309569291
588.8436554,-9.524349492
602.5595861,-9.743987422
616.5950019,-9.968586178
630.9573445,-10.19825058
645.654229,-10.43308716
660.693448,-10.67320417
676.0829754,-10.91871155
691.8309709,-11.16972094
707.9457844,-11.42634565
724.4359601,-11.68870063
741.3102413,-11.95690248
758.577575,-12.23106939
776.2471166,-12.51132112
794.3282347,-12.79777897
812.8305162,-13.09056574
831.7637711,-13.38980566
851.1380382,-13.69562437
870.96359,-14.00814887
891.2509381,-14.3275074
912.0108394,-14.65382947
933.2543008,-14.98724568
954.992586,-15.32788772
977.237221,-15.67588825
1000,-16.03138082
1023.292992,-16.39449976
1047.128548,-16.76538008
1071.519305,-17.14415736
1096.478196,-17.53096763
1122.018454,-17.92594724
1148.153621,-18.32923274
1174.897555,-18.74096072
1202.264435,-19.16126769
1230.268771,-19.59028991
1258.925412,-20.02816323
1288.249552,-20.47502295
1318.256739,-20.93100363
1348.962883,-21.39623895
1380.384265,-21.87086149
1412.537545,-22.3550026
1445.439771,-22.8487922
1479.108388,-23.35235863
1513.561248,-23.86582843
1548.816619,-24.38932624
1584.893192,-24.92297457
1621.810097,-25.4668937
1659.586907,-26.02120152
1698.243652,-26.58601338
1737.800829,-27.16144204
1778.27941,-27.74759752
1819.700859,-28.34458705
1862.087137,-28.95251509
1905.460718,-29.57148325
1949.8446,-30.20159038
1995.262315,-30.84293267
2041.737945,-31.49560373
2089.296131,-32.15969484
2137.96209,-32.83529517
2187.761624,-33.52249217
2238.721139,-34.22137191
2290.867653,-34.93201965
2344.228815,-35.65452045
2398.832919,-36.38895985
2454.708916,-37.13542475
2511.886432,-37.89400441
2570.395783,-38.66479157
2630.267992,-39.44788375
2691.534804,-40.24338478
2754.228703,-41.05140645
2818.382931,-41.87207048
2884.031503,-42.70551066
2951.209227,-43.55187532
3019.95172,-44.41133007
3090.295433,-45.28406085
3162.27766,-46.17027745
3235.936569,-47.07021734
3311.311215,-47.98415
3388.441561,-48.91238178
3467.368505,-49.85526135
3548.133892,-50.81318572
3630.780548,-51.78660711
3715.352291,-52.77604058
3801.893963,-53.78207263
3890.45145,-54.8053709
3981.071706,-55.84669507
4073.802778,-56.90690925
4168.693835,-57.98699598
4265.795188,-59.08807214
4365.158322,-60.2114071
4466.835922,-61.35844348
4570.881896,-62.53082086
4677.351413,-63.73040312
4786.300923,-64.9593099
4897.788194,-66.21995298
5011.872336,-67.51507841
5128.61384,-68.8478155
5248.074602,-70.22173387
5370.317964,-71.64090997
5495.408739,-73.11000487
5623.413252,-74.63435518
5754.399373,-76.22007951
5888.436554,-77.87420278
6025.595861,-79.60480123
6165.950019,-81.42117063
6309.573445,-83.33402008
6456.54229,-85.35569268
6606.93448,-87.50041209
6760.829754,-89.78455015
6918.309709,-92.22690373
7079.457844,-94.84895692
7244.359601,-97.67508562
7413.102413,-100.7326322
7585.77575,-104.0517334
7762.471166,-107.6647263
7943.282347,-111.6048809
8128.305162,-115.9041436
8317.637711,-120.5895463
8511.380382,-125.6780505
8709.6359,-131.1699459
8912.509381,-137.0416355
9120.108394,-143.2396208
9332.543008,-149.6783309
9549.92586,-156.2442933
9772.37221,-162.8073792
10000,-169.2368866
10232.92992,-175.4178012
10471.28548,-181.2624784
10715.19305,-186.7153032
10964.78196,-191.7508832
11220.18454,-196.3682068
11481.53621,-200.5834401
11748.97555,-204.4232476
12022.64435,-207.9195268
12302.68771,-211.1057165
12589.25412,-214.0144582
12882.49552,-216.6762732
13182.56739,-219.1189301
13489.62883,-221.3672503
13803.84265,-223.4431703
14125.37545,-225.3659388
14454.39771,-227.1523775
14791.08388,-228.8171562
15135.61248,-230.3730621
15488.16619,-231.8312469
15848.93192,-233.2014491
16218.10097,-234.4921889
16595.86907,-235.7109375
16982.43652,-236.8642632
17378.00829,-237.9579558
17782.7941,-238.9971342
18197.00859,-239.986337
18620.87137,-240.9296004
19054.60718,-241.8305249
19498.446,-242.6923321
19952.62315,-243.5179129
20417.37945,-244.3098697
20892.96131,-245.0705518
21379.6209,-245.8020869
21877.61624,-246.5064072
22387.21139,-247.1852727
22908.67653,-247.8402915
23442.28815,-248.4729368
23988.32919,-249.0845627
24547.08916,-249.6764172
25118.86432,-250.2496537
25703.95783,-250.8053421
26302.67992,-251.3444772
26915.34804,-251.8679869
27542.28703,-252.3767397
28183.82931,-252.8715509
28840.31503,-253.3531884
29512.09227,-253.8223779
30199.5172,-254.2798073
30902.95433,-254.7261315
31622.7766,-255.1619755
32359.36569,-255.5879387
33113.11215,-256.0045975
33884.41561,-256.4125087
34673.68505,-256.8122123
35481.33892,-257.2042339
36307.80548,-257.5890873
37153.52291,-257.9672768
38018.93963,-258.3392997
38904.5145,-258.7056481
39810.71706,-259.0668113
40738.02778,-259.4232778
41686.93835,-259.7755374
42657.95188,-260.1240829
43651.58322,-260.4694129
44668.35922,-260.812033
45708.81896,-261.1524585
46773.51413,-261.4912163
47863.00923,-261.8288471
48977.88194,-262.165908
50118.72336,-262.5029743
51286.1384,-262.8406427
52480.74602,-263.1795332
53703.17964,-263.5202923
54954.08739,-263.8635957
56234.13252,-264.2101515
57543.99373,-264.5607033
58884.36554,-264.9160334
60255.95861,-265.276967
61659.50019,-265.6443756
63095.73445,-266.0191811
64565.4229,-266.4023604
66069.3448,-266.79495
67608.29754,-267.1980507
69183.09709,-267.6128327
70794.57844,-268.0405417
72443.59601,-268.482504
74131.02413,-268.9401328
75857.7575,-269.4149347
77624.71166,-269.9085158
79432.82347,-270.4225892
81283.05162,-270.958981
83176.37711,-271.5196378
85113.80382,-272.1066331
87096.359,-272.7221743
89125.09381,-273.368608
91201.08394,-274.0484257
93325.43008,-274.764268
95499.2586,-275.5189264
97723.7221,-276.3153442
100000,-277.1566134
